Wavenumber [1/cm],A,B,C
1808.641956,0.079087252,0.148445418,0.00759728
1804.912797,0.083987317,0.109225757,0.00765345
1801.183638,0.077218201,0.083266667,0.00809762
1797.45448,0.065187963,0.069075131,0.00935101
1793.725321,0.05702145,0.059744377,0.01097819
1789.996162,0.053774293,0.05186118,0.01111966
1786.267004,0.053319523,0.04574148,0.0105679
1782.537845,0.053449784,0.041293991,0.01027216
1778.808686,0.053035772,0.038474989,0.01028011
1775.079528,0.051997874,0.037171436,0.01111001
1771.350369,0.0508854,0.037382773,0.01217933
1767.62121,0.048711148,0.038177509,0.01218991
1763.892051,0.046968886,0.040120634,0.01168087
1760.162893,0.045193259,0.044496245,0.01079389
1756.433734,0.04434513,0.048423417,0.01030259
1752.704575,0.04600293,0.046299052,0.01093588
1748.975417,0.050361795,0.041010623,0.01153014
1745.246258,0.055701332,0.037475665,0.01068426
1741.517099,0.061907302,0.035821472,0.00935219
1737.787941,0.065861417,0.035220681,0.00858012
1734.058782,0.063627,0.035840057,0.00790216
1730.329623,0.056376998,0.036288829,0.00683394
1726.600465,0.049208835,0.035888672,0.00626324
1722.871306,0.044308147,0.034743773,0.00663895
1719.142147,0.042783247,0.034899139,0.00834086
1715.412989,0.042563008,0.036334651,0.00927465
1711.68383,0.042034217,0.035198711,0.00911734
1707.954671,0.042757277,0.033321801,0.01009345
1704.225513,0.044934476,0.032898218,0.01215878
1700.496354,0.048010646,0.033700635,0.01400552
1696.767195,0.047904254,0.034726592,0.01393552
1693.038037,0.045862663,0.035291199,0.01311881
1689.308878,0.045110927,0.035286051,0.01349389
1685.579719,0.047171442,0.036953444,0.01483212
1681.850561,0.049303888,0.03982891,0.01436031
1678.121402,0.050620589,0.044015031,0.01367988
1674.392243,0.049765685,0.049050531,0.01379486
1670.663085,0.048394311,0.050025417,0.01396208
1666.933926,0.048133881,0.046031635,0.01377023
1663.204767,0.049452287,0.041541425,0.01355203
1659.475609,0.05096587,0.038702722,0.01370643
1655.74645,0.053259207,0.038057852,0.01500205
1652.017291,0.053790964,0.038893063,0.01555589
1648.288133,0.053018122,0.039661395,0.01482421
1644.558974,0.052488689,0.039867033,0.01399647
1640.829815,0.054091494,0.039647962,0.01414252
1637.100657,0.060379532,0.039864617,0.01523484
1633.371498,0.071144666,0.040701414,0.01496258
1629.642339,0.085624606,0.042349977,0.01479137
1625.913181,0.098388434,0.046651691,0.01506944
1622.184022,0.101289413,0.053719414,0.01544722
1618.454863,0.099442955,0.057470091,0.01568515
1614.725705,0.113510199,0.055453846,0.01586931
1610.996546,0.180560045,0.052584382,0.0157977
1607.267387,0.295781698,0.051481564,0.01614092
1603.538229,0.308568835,0.050778412,0.01638792
1599.80907,0.214880617,0.050270901,0.01665462
1596.079911,0.148258226,0.050537641,0.0166985
1592.350753,0.124051681,0.052438514,0.01686943
1588.621594,0.118384285,0.054285564,0.017141
1584.892435,0.114308124,0.053851309,0.01716231
1581.163277,0.112273766,0.051853662,0.01753907
1577.434118,0.115381186,0.049600987,0.01845713
1573.704959,0.117872759,0.04712402,0.01889299
1569.975801,0.113051935,0.045038487,0.01888892
1566.246642,0.104360456,0.043800737,0.01917701
1562.517483,0.097326479,0.043346841,0.02055268
1558.788325,0.093165694,0.044982077,0.02225514
1555.059166,0.091459092,0.047182355,0.02158313
1551.330007,0.09208679,0.049715456,0.0214906
1547.600849,0.094149867,0.053881489,0.0226083
1543.87169,0.100971242,0.06342428,0.02533801
1540.142531,0.108046683,0.082618513,0.02677375
1536.413373,0.11059044,0.106212839,0.02680031
1532.684214,0.113415459,0.127483631,0.02664082
1528.955055,0.127506569,0.137254031,0.02754738
1525.225897,0.144639671,0.130254126,0.02950266
1521.496738,0.14400546,0.11124847,0.03201989
1517.767579,0.135828909,0.092300458,0.03332128
1514.038421,0.13682961,0.080413205,0.03463279
1510.309262,0.149003878,0.074598471,0.03744084
1506.580103,0.189774002,0.074786592,0.04026173
1502.850945,0.291501478,0.079443728,0.0423007
1499.121786,0.518094132,0.090132819,0.04654773
1495.392627,0.682486139,0.110399488,0.05356344
1491.663468,0.491042441,0.154311409,0.06243622
1487.93431,0.320601783,0.266829232,0.07494103
1484.205151,0.261319362,0.510562602,0.09228668
1480.475992,0.257888907,0.874478834,0.12379509
1476.746834,0.278403237,0.843212522,0.19080825
1473.017675,0.313648348,0.488345557,0.32303129
1469.288516,0.350549916,0.284920102,0.44495571
1465.559358,0.384519682,0.182469388,0.47853854
1461.830199,0.405639955,0.13208408,0.47240708
1458.10104,0.403525072,0.102881435,0.44749665
1454.371882,0.378870545,0.084517756,0.38023114
1450.642723,0.344132526,0.073338595,0.30264711
1446.913564,0.302189181,0.065600261,0.23717708
1443.184406,0.257874906,0.060640598,0.19263773
1439.455247,0.217952727,0.05759443,0.15757609
1435.726088,0.188664352,0.055492366,0.12527423
1431.99693,0.174452916,0.053916949,0.10156911
1428.267771,0.166261773,0.052319727,0.08595254
1424.538612,0.157820738,0.051078339,0.0755681
1420.809454,0.147499896,0.050941241,0.06841707
1417.080295,0.136968292,0.051747815,0.06160557
1413.351136,0.129409423,0.053461856,0.05711858
1409.621978,0.124327249,0.056077544,0.05504393
1405.892819,0.121009319,0.061700435,0.05573445
1402.16366,0.119341111,0.074908592,0.05797882
